SECTNO,SUBJECT,TEXT
27.303,Contract clauses.,"(a)(1) Insert a patent rights clause in all solicitations and contracts for experimental, developmental, or research work as prescribed in this section. (2) This section also applies to solicitations or contracts for construction work or architect-engineer services that include— (i) Experimental, developmental, or research work; (ii) Test and evaluation studies; or (iii) The design of a Government facility that may involve novel structures, machines, products, materials, processes, or equipment (including construction equipment). (3) The contracting officer shall not include a patent rights clause in solicitations or contracts for construction work or architect-engineer services that call for or can be expected to involve only “standard types of construction.” “Standard types of construction” are those involving previously developed equipment, methods, and processes and in which the distinctive features include only— (i) Variations in size, shape, or capacity of conventional structures; or (ii) Purely artistic or aesthetic (as distinguished from functionally significant) architectural configurations and designs of both structural and nonstructural members or groupings, whether or not they qualify for design patent protection. (b)(1) Unless an alternative patent rights clause is used in accordance with paragraph (c), (d), or (e) of this section, insert the clause at 52.227-11, Patent Rights—Ownership by the Contractor. (2) To the extent the information is not required elsewhere in the contract, and unless otherwise specified by agency supplemental regulations, the contracting officer may modify 52.227-11(e) or otherwise supplement the clause to require the contractor to do one or more of the following: (i) Provide periodic (but not more frequently than annually) listings of all subject inventions required to be disclosed during the period covered by the report. (ii) Provide a report prior to the closeout of the contract listing all subject inventions or stating that there were none. (iii) Provide the filing date, serial number, title, patent number and issue date for any patent application filed on any subject invention in any country or, upon request, copies of any patent application so identified. (iv) Furnish the Government an irrevocable power to inspect and make copies of the patent application file when a Government employee is a co-inventor. (3) Use the clause with its Alternate I if the Government must grant a foreign government a sublicense in subject inventions pursuant to a specified treaty or executive agreement. The contracting officer may modify Alternate I, if the agency head determines, at contract award, that it would be in the national interest to sublicense foreign governments or international organizations pursuant to any existing or future treaty or agreement. When necessary to effectuate a treaty or agreement, Alternate I may be appropriately modified. (4) Use the clause with its Alternate II in contracts that may be affected by existing or future treaties or agreements. (5) Use the clause with its Alternate III in contracts with nonprofit organizations for the operation of a Government-owned facility. (6) If the contract is for the operation of a Government-owned facility, the contracting officer may use the clause with its Alternate IV. (7) If the contract is for the performance of services at a Government owned and operated laboratory or at a Government owned and contractor operated laboratory directed by the Government to fulfill the Government's obligations under a Cooperative Research and Development Agreement (CRADA) authorized by 15 U.S.C. 3710a, the contracting officer may use the clause with its Alternate V. Since this provision is considered an exercise of an agency's “exceptional circumstances” authority, the contracting officer must comply with 37 CFR 401.3(e) and 401.4. (c) Insert a patent rights clause in accordance with the procedures at 27.304-2 if the solicitation or contract is being placed on behalf of another Government agency. (d) Insert a patent rights clause in accordance with agency procedures if the solicitation or contract is for DoD, DOE, or NASA, and the contractor is other than a small business concern or nonprofit organization. (e)(1) Except as provided in paragraph (e)(2) of this section, and after compliance with the applicable procedures in 27.304-1(b), the contracting officer may insert the clause at 52.227-13, Patent Rights—Ownership by the Government, or a clause prescribed by agency supplemental regulations, if— (i) The contractor is not located in the United States or does not have a place of business located in the United States or is subject to the control of a foreign government; (ii) There are exceptional circumstances and the agency head determines that restriction or elimination of the right to retain title to any subject invention will better promote the policy and objectives of chapter 18 of title 35 of the United States Code; (iii) A Government authority that is authorized by statute or executive order to conduct foreign intelligence or counterintelligence activities, determines that restriction or elimination of the right to retain any subject invention is necessary to protect the security of such activities; or (iv) The contract includes the operation of a Government-owned, contractor-operated facility of DOE primarily dedicated to that Department's naval nuclear propulsion or weapons related programs. (2) If an agency exercises the exceptions at paragraph (e)(1)(ii) or (iii) of this section in a contract with a small business concern or a nonprofit organization, the contracting officer shall use the clause at 52.227-11 with only those modifications necessary to address the exceptional circumstances and shall include in the modified clause greater rights determinations procedures equivalent to those at 52.227-13(b)(2). (3) When using the clause at 52.227-13, Patent Rights—Ownership by the Government, the contracting officer may supplement the clause to require the contractor to— (i) Furnish a copy of each subcontract containing a patent rights clause (but if a copy of a subcontract is furnished under another clause, a duplicate shall not be requested under the patent rights clause); (ii) Submit interim and final invention reports listing subject inventions and notifying the contracting officer of all subcontracts awarded for experimental, developmental, or research work; (iii) Provide the filing date, serial number, title, patent number, and issue date for any patent application filed on any subject invention in any country or, upon specific request, copies of any patent application so identified; and (iv) Submit periodic reports on the utilization of a subject invention. (4) Use the clause at 52.227-13 with its Alternate I if— (i) The Government must grant a foreign government a sublicense in subject inventions pursuant to a treaty or executive agreement; or (ii) The agency head determines, at contract award, that it would be in the national interest to sublicense foreign governments or international organizations pursuant to any existing or future treaty or agreement. If other rights are necessary to effectuate any treaty or agreement, Alternate I may be appropriately modified. (5) Use the clause at 52.227-13 with its Alternate II in the contract when necessary to effectuate an existing or future treaty or agreement."
27.304,Procedures.,
27.304-1,General.,"(a) Status as small business concern or nonprofit organization. If an agency has reason to question the size or nonprofit status of the prospective contractor, the agency may require the prospective contractor to furnish evidence of its nonprofit status or may file a size protest in accordance with FAR 19.302. (b) Exceptions. (1) Before using any of the exceptions under 27.303(e)(1) in a contract with a small business concern or a nonprofit organization and before using the exception of 27.303(e)(1)(ii) for any contractor, the agency shall follow the applicable procedures at 37 CFR 401. (2) A small business concern or nonprofit organization is entitled to an administrative review of the use of the exceptions at 27.303(e)(1)(i) through (e)(1)(iv) in accordance with agency procedures and 37 CFR part 401. (c) Greater rights determinations. Whenever the contract contains the clause at 52.227-13, Patent Rights—Ownership by the Government, or a patent rights clause modified pursuant to 27.303(e)(2), the contractor (or an employee-inventor of the contractor after consultation with the contractor) may request greater rights to an identified invention within the period specified in the clause. The contracting officer may grant requests for greater rights if the contracting officer determines that the interests of the United States and the general public will be better served. In making these determinations, the contracting officer shall consider at least the following objectives (see 37 CFR 401.3(b) and 401.15): (1) Promoting the utilization of inventions arising from federally supported research and development. (2) Ensuring that inventions are used in a manner to promote full and open competition and free enterprise without unduly encumbering future research and discovery. (3) Promoting public availability of inventions made in the United States by United States industry and labor. (4) Ensuring that the Government obtains sufficient rights in federally supported inventions to meet the needs of the Government and protect the public against nonuse or unreasonable use of inventions. (d) Retention of rights by inventor. If the contractor elects not to retain title to a subject invention, the agency may consider and, after consultation with the contractor, grant requests for retention of rights by the inventor. Retention of rights by the inventor will be subject to the conditions in paragraphs (d) (except paragraph (d)(1)(i)), (e)(4), (f), (g), and (h) of the clause at 52.227-11, Patent Rights—Ownership by the Contractor. (e) Government assignment to contractor of rights in Government employees' inventions. When a Government employee is a co-inventor of an invention made under a contract with a small business concern or nonprofit organization, the agency employing the co-inventor may license or assign whatever rights it may acquire in the subject invention from its employee to the contractor, subject at least to the conditions of 35 U.S.C. 202-204. (f) Revocation or modification of contractor's minimum rights. Before revoking or modifying the contractor's license in accordance with 27.302(i)(2), the contracting officer shall furnish the contractor a written notice of intention to revoke or modify the license. The agency shall allow the contractor at least 30 days (or another time as may be authorized for good cause by the contracting officer) after the notice to show cause why the license should not be revoked or modified. The contractor has the right to appeal, in accordance with applicable regulations in 37 CFR part 404 and agency licensing regulations, any decisions concerning the revocation or modification. (g) Exercise of march-in rights. When exercising march-in rights, agencies shall follow the procedures set forth in 37 CFR 401.6. (h) Licenses and assignments under contracts with nonprofit organizations. If the contractor is a nonprofit organization, paragraph (i) of the clause at 52.227-11 provides that certain contractor actions require agency approval."
27.304-2,Contracts placed by or for other Government agencies.,"The following procedures apply unless an interagency agreement provides otherwise: (a) When a Government agency requests another Government agency to award a contract on its behalf, the request should explain any special circumstances surrounding the contract and specify the patent rights clause to be used. The clause should be selected and modified, if necessary, in accordance with the policies and procedures of this subpart. If, however, the request states that a clause of the requesting agency is required ( e.g. , because of statutory requirements, a deviation, or exceptional circumstances), the awarding agency shall use that clause rather than those of this subpart. (1) If the request states that an agency clause is required and the work to be performed under the contract is not severable and is funded wholly or in part by the requesting agency, then include the requesting agency clause and no other patent rights clause in the contract. (2) If the request states that an agency clause is required, and the work to be performed under the contract is severable, then the contracting officer shall assure that the requesting agency clause applies only to that severable portion of the work and that the work for the awarding agency is subject to the appropriate patent rights clause. (3) If the request states that a requesting agency clause is not required in any resulting contract, the awarding agency shall use the appropriate patent rights clause, if any. (b) Any action requiring an agency determination, report, or deviation involved in the use of the requesting agency's clause is the responsibility of the requesting agency unless the agencies agree otherwise. However, the awarding agency may not alter the requesting agency's clause without prior approval of the requesting agency. (c) The requesting agency may require, and provide instructions regarding, the forwarding or handling of any invention disclosures or other reporting requirements of the specified clauses. Normally, the requesting agency is responsible for the administration of any subject inventions. This responsibility shall be established in advance of awarding any contracts."
27.304-3,Subcontracts.,"(a) The policies and procedures in this subpart apply to all subcontracts at any tier. (b) Whenever a prime contractor or a subcontractor considers including a particular clause in a subcontract to be inappropriate or a subcontractor refuses to accept the clause, the contracting officer, in consultation with counsel, shall resolve the matter. (c) It is Government policy that contractors shall not use their ability to award subcontracts as economic leverage to acquire rights for themselves in inventions resulting from subcontracts."
27.304-4,Appeals.,"(a) The designated agency official shall provide the contractor with a written statement of the basis, including any relevant facts, for taking any of the following actions: (1) A refusal to grant an extension to the invention disclosure period under paragraph (c)(4) of the clause at 52.227-11; (2) A demand for a conveyance of title to the Government under 27.302(d)(1)(i) and (ii); (3) A refusal to grant a waiver under 27.302(g), Preference for United States industry; or (4) A refusal to approve an assignment under 27.304-1(h). (b) Each agency may establish and publish procedures under which any of these actions may be appealed. These appeal procedures should include administrative due process procedures and standards for fact-finding. The resolution of any appeal shall consider both the factual and legal basis for the action and its consistency with the policy and objectives of 35 U.S.C. 200-206 and 210. (c) To the extent that any of the actions described in paragraph (a) of this section are subject to appeal under the Contract Disputes statute, the procedures under that statute will satisfy the requirements of paragraph (b)."
27.305,Administration of patent rights clauses.,
27.305-1,Goals.,"(a) Contracts having a patent rights clause should be so administered that— (1) Inventions are identified, disclosed, and reported as required by the contract, and elections are made; (2) The rights of the Government in subject inventions are established; (3) When patent protection is appropriate, patent applications are timely filed and prosecuted by contractors or by the Government; (4) The rights of the Government in filed patent applications are documented by formal instruments such as licenses or assignments; and (5) Expeditious commercial utilization of subject inventions is achieved. (b) If a subject invention is made under a contract funded by more than one agency, at the request of the contractor or on their own initiative, the agencies shall designate one agency as responsible for administration of the rights of the Government in the invention."
27.305-2,Administration by the Government.,"(a) Agencies should establish and maintain appropriate follow-up procedures to protect the Government's interest and to check that subject inventions are identified and disclosed, and when appropriate, patent applications are filed, and that the Government's rights therein are established and protected. Follow-up activities for contracts that include a clause referenced in 27.304-2 should be coordinated with the appropriate agency. (b)(1) The contracting officer administering the contract (or other representative specifically designated in the contract for this purpose) is responsible for receiving invention disclosures, reports, confirmatory instruments, notices, requests, and other documents and information submitted by the contractor pursuant to a patent rights clause. (i) For other than confirmatory instruments, if the contractor fails to furnish documents or information as called for by the clause within the time required, the contracting officer shall promptly request the contractor to supply the required documents or information. If the failure persists, the contracting officer shall take appropriate action to secure compliance. (ii) If the contractor does not furnish confirmatory instruments within 6 months after filing each patent application, or within 6 months after submitting the invention disclosure if the application has been previously filed, the contracting officer shall request the contractor to supply the required documents. (2) The contracting officer shall promptly furnish all invention disclosures, reports, confirmatory instruments, notices, requests, and other documents and information relating to patent rights clauses to legal counsel. (c) Contracting activities should establish appropriate procedures to detect and correct failures by the contractor to comply with its obligations under the patent rights clauses, such as failures to disclose and report subject inventions, both during and after contract performance. Government effort to review and correct contractor compliance with its patent rights obligations should be directed primarily toward contracts that are more likely to result in subject inventions significant in number or quality. These contracts include contracts of a research, developmental, or experimental nature; contracts of a large dollar amount; and any other contracts when there is reason to believe the contractor may not be complying with its contractual obligations. Other contracts may be reviewed using a spot-check method, as feasible. Appropriate follow-up procedures and activities may include the investigation or review of selected contracts or contractors by those qualified in patent and technical matters to detect failures to comply with contract obligations. (d) Follow-up activities should include, where appropriate, use of Government patent personnel— (1) To interview agency technical personnel to identify novel developments made in contracts; (2) To review technical reports submitted by contractors with cognizant agency technical personnel; (3) To check the Official Gazette of the United States Patent and Trademark Office and other sources for patents issued to the contractor in fields related to its Government contracts; and (4) To have cognizant Government personnel interview contractor personnel regarding work under the contract involved, observe the work on site, and inspect laboratory notebooks and other records of the contractor related to work under the contract. (e) If a contractor or subcontractor does not have a clear understanding of its obligations under the clause, or its procedures for complying with the clause are deficient, the contracting officer should explain to the contractor its obligations. The withholding of payments provision (if any) of the patent rights clause may be invoked if the contractor fails to meet the obligations required by the patents rights clause. Significant or repeated failures by a contractor to comply with the patent rights obligation in its contracts shall be documented and made a part of the general file (see 4.801(c)(3))."
27.305-3,Securing invention rights acquired by the Government.,"(a) Agencies are responsible for implementing procedures necessary to protect the Government's interest in subject inventions. When the Government acquires the entire right, title, and interest in an invention by contract, the chain of title from the inventor to the Government shall be clearly established. This is normally accomplished by an assignment either from each inventor to the contractor and from the contractor to the Government, or from the inventor to the Government with the consent of the contractor. When the Government's rights are limited to a license, there should be a confirmatory instrument to that effect. (b) Agencies may, by supplemental instructions, develop suitable assignments, licenses, and other papers evidencing any rights of the Government in patents or patents applications. These instruments should be recorded in the U.S. Patent and Trademark Office (see Executive Order 9424, Establishing in the United States Patent Office a Register of Government Interests in Patents and Applications for Patents, (February 18, 1944)."
27.305-4,Protection of invention disclosures.,"(a) The Government will, to the extent authorized by 35 U.S.C. 205, withhold from disclosure to the public any invention disclosures reported under the patent rights clauses of 52.227-11 or 52.227-13 for a reasonable time in order for patent applications to be filed. The Government will follow the policy in 27.302(j) regarding protection of confidentiality. (b) The Government should also use reasonable efforts to withhold from disclosure to the public for a reasonable time other information disclosing a subject invention. This information includes any data delivered pursuant to contract requirements provided that the contractor notifies the agency as to the identity of the data and the subject invention to which it relates at the time of delivery of the data. This notification shall be provided to both the contracting officer and to any patent representative to which the invention is reported, if other than the contracting officer. (c) For more information on protection of invention disclosures, also see 37 CFR 401.13."
27.306,Licensing background patent rights to third parties.,"(a) A contract with a small business concern or nonprofit organization shall not contain a provision allowing the Government to require the licensing to third parties of inventions owned by the contractor that are not subject inventions unless the agency head has approved and signed a written justification in accordance with paragraph (b) of this section. The agency head may not delegate this authority and may exercise the authority only if it is determined that the— (1) Use of the invention by others is necessary for the practice of a subject invention or for the use of a work object of the contract; and (2) Action is necessary to achieve the practical application of the subject invention or work object. (b) Any determination will be on the record after an opportunity for a hearing, and the agency shall notify the contractor of the determination by certified or registered mail. The notification shall include a statement that the contractor must bring any action for judicial review of the determination within 60 days after the notification."
27.400,Scope of subpart.,"This subpart sets forth policies and procedures regarding rights in data and copyrights, and acquisition of data. The policy statement in 27.402 applies to all executive agencies. The remainder of the subpart applies to all executive agencies except the Department of Defense."
27.401,Definitions.,"As used in this subpart— Data means recorded information, regardless of form or the media on which it may be recorded. The term includes technical data and computer software. The term does not include information incidental to contract administration, such as financial, administrative, cost or pricing, or management information. Form, fit, and function data means data relating to items, components, or processes that are sufficient to enable physical and functional interchangeability, and data identifying source, size, configuration, mating and attachment characteristics, functional characteristics, and performance requirements. For computer software it means data identifying source, functional characteristics, and performance requirements, but specifically excludes the source code, algorithms, processes, formulas, and flow charts of the software. Limited rights means the rights of the Government in limited rights data as set forth in a Limited Rights Notice. Limited rights data means data, other than computer software, that embody trade secrets or are commercial or financial and confidential or privileged, to the extent that such data pertain to items, components, or processes developed at private expense, including minor modifications. (Agencies may, however, adopt the following alternate definition: Limited rights data means data (other than computer software) developed at private expense that embody trade secrets or are commercial or financial and confidential or privileged (see 27.404-2(b)). Restricted computer software means computer software developed at private expense and that is a trade secret, is commercial or financial and confidential or privileged, or is copyrighted computer software, including minor modifications of the computer software. Restricted rights means the rights of the Government in restricted computer software as set forth in a Restricted Rights Notice. Unlimited rights means the rights of the Government to use, disclose, reproduce, prepare derivative works, distribute copies to the public, and perform publicly and display publicly, in any manner and for any purpose, and to have or permit others to do so."
27.402,Policy.,"(a) To carry out their missions and programs, agencies acquire or obtain access to many kinds of data produced during or used in the performance of their contracts. Agencies require data to— (1) Obtain competition among suppliers; (2) Fulfill certain responsibilities for disseminating and publishing the results of their activities; (3) Ensure appropriate utilization of the results of research, development, and demonstration activities including the dissemination of technical information to foster subsequent technological developments; (4) Meet other programmatic and statutory requirements; and (5) Meet specialized acquisition needs and ensure logistics support. (b) Contractors may have proprietary interests in data. In order to prevent the compromise of these interests, agencies shall protect proprietary data from unauthorized use and disclosure. The protection of such data is also necessary to encourage qualified contractors to participate in and apply innovative concepts to Government programs. In light of these considerations, agencies shall balance the Government's needs and the contractor's legitimate proprietary interests."
27.403,Data rights—General.,"All contracts that require data to be produced, furnished, acquired, or used in meeting contract performance requirements, must contain terms that delineate the respective rights and obligations of the Government and the contractor regarding the use, reproduction, and disclosure of that data. Data rights clauses do not specify the type, quantity or quality of data that is to be delivered, but only the respective rights of the Government and the contractor regarding the use, disclosure, or reproduction of the data. Accordingly, the contract shall specify the data to be delivered."
27.404,Basic rights in data clause.,"This section describes the operation of the clause at 52.227-14, Rights in Data—General, and also the use of the provision at 52.227-15, Representation of Limited Rights Data and Restricted Computer Software."
27.404-1,Unlimited rights data.,"The Government acquires unlimited rights in the following data except for copyrighted works as provided in 27.404-3: (a) Data first produced in the performance of a contract (except to the extent the data constitute minor modifications to data that are limited rights data or restricted computer software). (b) Form, fit, and function data delivered under contract. (c) Data (except as may be included with restricted computer software) that constitute manuals or instructional and training material for installation, operation, or routine maintenance and repair of items, components, or processes delivered or furnished for use under a contract. (d) All other data delivered under the contract other than limited rights data or restricted computer software (see 27.404-2)."
27.404-2,Limited rights data and restricted computer software.,"(a) General. The basic clause at 52.227-14, Rights in Data—General, enables the contractor to protect qualifying limited rights data and restricted computer software by withholding the data from the Government and instead delivering form, fit, and function data. (b) Alternate definition of limited rights data. For contracts that do not require the development, use, or delivery of items, components, or processes that are intended to be acquired by or for the Government, an agency may adopt the alternate definition of limited rights data set forth in Alternate I to the clause at 52.227-14. The alternate definition does not require that the data pertain to items, components, or processes developed at private expense; but rather that the data were developed at private expense and embody a trade secret or are commercial or financial and confidential or privileged. (c) Protection of limited rights data specified for delivery. (1) The clause at 52.227-14 with its Alternate II enables the Government to require delivery of limited rights data rather than allow the contractor to withhold the data. To obtain delivery, the contract may identify and specify data to be delivered, or the contracting officer may require, by written request during contract performance, the delivery of data that has been withheld or identified to be withheld under paragraph (g)(1) of the clause. In addition, the contract may specifically identify data that are not to be delivered under Alternate II or which, if delivered, will be delivered with limited rights. The limited rights obtained by the Government are set forth in the Limited Rights Notice contained in paragraph (g)(3) of Alternate II. Agencies shall not, without permission of the contractor, use limited rights data for purposes of manufacture or disclose the data outside the Government except as set forth in the Notice. Any disclosure by the Government shall be subject to prohibition against further use and disclosure by the recipient. The following are examples of specific purposes that may be adopted by an agency in its supplement and added to the Limited Rights Notice of paragraph (g)(3) of Alternate II of the clause: (i) Use (except for manufacture) by support service contractors. (ii) Evaluation by nongovernment evaluators. (iii) Use (except for manufacture) by other contractors participating in the Government's program of which the specific contract is a part. (iv) Emergency repair or overhaul work. (v) Release to a foreign government, or its instrumentalities, if required to serve the interests of the U.S. Government, for information or evaluation, or for emergency repair or overhaul work by the foreign government. (2) The provision at 52.227-15, Representation of Limited Rights Data and Restricted Computer Software, helps the contracting officer to determine whether the clause at 52.227-14 should be used with its Alternate II. This provision requests that an offeror state whether limited rights data are likely to be delivered. Where limited rights data are expected to be delivered, use Alternate II. Where negotiations are based on an unsolicited proposal, the need for Alternate II of the clause at 52.227-14 should be addressed during negotiations or discussions, and if Alternate II was not included initially it may be added by modification, if needed, during contract performance. (3) If data that would otherwise qualify as limited rights data is delivered as a computer database, the data shall be treated as limited rights data, rather than restricted computer software, for the purposes of paragraph (g) of the clause at 52.227-14. (d) Protection of restricted computer software specified for delivery. (1) Alternate III of the clause at 52.227-14, enables the Government to require delivery of restricted computer software rather than allow the contractor to withhold such restricted computer software. To obtain delivery of restricted computer software the contracting officer shall— (i) Identify and specify the deliverable computer software in the contract; or (ii) Require by written request during contract performance, the delivery of computer software that has been withheld or identified to be withheld under paragraph (g)(1) of the clause. (2) In considering whether to use Alternate III, contracting officers should note that, unlike other data, computer software is also an end item in itself. Thus, the contracting officer shall use Alternate III if delivery of restricted computer software is required to meet agency needs. (3) Unless otherwise agreed (see paragraph (d)(4) of this subsection), the restricted rights obtained by the Government are set forth in the Restricted Rights Notice contained in paragraph (g)(4) (Alternate III). Such restricted computer software will not be used or reproduced by the Government, or disclosed outside the Government, except that the computer software may be— (i) Used or copied for use with the computers for which it was acquired, including use at any Government installation to which the computers may be transferred; (ii) Used or copied for use with a backup computer if any computer for which it was acquired is inoperative; (iii) Reproduced for safekeeping (archives) or backup purposes; (iv) Modified, adapted, or combined with other computer software, provided that the modified, adapted, or combined portions of the derivative software incorporating any of the delivered, restricted computer software shall be subject to the same restricted rights; (v) Disclosed to and reproduced for use by support service contractors or their subcontractors, in accordance with paragraphs (3)(i) through (iv) of this section; and (vi) Used or copied for use with a replacement computer. (4) The restricted rights set forth in paragraph (d)(3) of this subsection are the minimum rights the Government normally obtains with restricted computer software and will automatically apply when such software is acquired under the Restricted Rights Notice of paragraph (g)(4) of Alternate III of the clause at 52.227-14. However, the contracting officer may specify different rights in the contract, consistent with the purposes and needs for which the software is to be acquired. For example, the contracting officer should consider any networking needs or any requirements for use of the computer software from remote terminals. Also, in addressing such needs, the scope of the restricted rights may be different for the documentation accompanying the computer software than for the programs and databases. Any additions to, or limitations on, the restricted rights set forth in the Restricted Rights Notice of paragraph (g)(4) of Alternate III of the clause at 52.227-14 shall be expressly stated in the contract or in a collateral agreement incorporated in and made part of the contract, and the notice modified accordingly. (5) The provision at 52.227-15, Representation of Limited Rights Data and Restricted Computer Software, helps the contracting officer determine whether to use the clause at 52.227-14 with its Alternate III. This provision requests that an offeror state whether restricted computer software is likely to be delivered under the contract. In addition, the need for Alternate III should be addressed during negotiations or discussions with an offeror, particularly where negotiations are based on an unsolicited proposal. However, if Alternate III is not used initially, it may be added by modification, if needed, during contract performance."
27.404-3,Copyrighted works.,"(a) Data first produced in the performance of a contract. (1) Generally, the contractor must obtain permission of the contracting officer prior to asserting rights in any copyrighted work containing data first produced in the performance of a contract. However, contractors are normally authorized, without prior approval of the contracting officer, to assert copyright in technical or scientific articles based on or containing such data that is published in academic, technical or professional journals, symposia proceedings and similar works. (2) The contractor must make a written request for permission to assert its copyright in works containing data first produced under the contract. In its request, the contractor should identify the data involved or furnish copies of the data for which permission is requested, as well as a statement as to the intended publication or dissemination media or other purpose for which the permission is requested. Generally, a contracting officer should grant the contractor's request when copyright protection will enhance the appropriate dissemination or use of the data unless the— (i) Data consist of a report that represents the official views of the agency or that the agency is required by statute to prepare; (ii) Data are intended primarily for internal use by the Government; (iii) Data are of the type that the agency itself distributes to the public under an agency program; (iv) Government determines that limitation on distribution of the data is in the national interest; or (v) Government determines that the data should be disseminated without restriction. (3) Alternate IV of the clause at 52.227-14 provides a substitute paragraph (c)(1) granting permission for contractors to assert copyright in any data first produced in the performance of the contract without the need for any further requests. Except for contracts for management or operation of Government facilities and contracts and subcontracts in support of programs being conducted at those facilities or where international agreements require otherwise, Alternate IV shall be used in all contracts for basic or applied research to be performed solely by colleges and universities. Alternate IV shall not be used in contracts with colleges and universities if a purpose of the contract is for development of computer software for distribution to the public (including use in solicitations) by or on behalf of the Government. In addition, Alternate IV may be used in other contracts if an agency determines that it is not necessary for a contractor to request further permission to assert copyright in data first produced in performance of the contract. The contracting officer may exclude any data, or items or categories of data, from the provisions of Alternate IV by expressly so providing in the contract or by adding a paragraph (d)(4) to the clause, consistent with 27.404-4(b). (4) Pursuant to paragraph (c)(1) of the clause at 52.227-14, the contractor grants the Government a paid-up nonexclusive, irrevocable, worldwide license to reproduce, prepare derivative works, distribute to the public, perform publicly and display publicly by or on behalf of the Government, for all data (other than computer software) first produced in the performance of a contract. For computer software, the scope of the Government's license includes all of the above rights except the right to distribute to the public. Agencies may also obtain a license of different scope if the contracting officer determines, after consulting with legal counsel, such a license will substantially enhance the dissemination of any data first produced under the contract or if such a license is required to comply with international agreements. If an agency obtains a different license, the contractor shall clearly state the scope of that license in a conspicuous place on the medium on which the data is recorded. For example, if the data is delivered as a report, the terms of the license shall be stated on the cover, or first page, of the report. (5) The clause requires the contractor to affix the applicable copyright notices of 17 U.S.C. 401 or 402, and acknowledgment of Government sponsorship, (including the contract number) to data when it asserts copyright in data. Failure to do so could result in such data being treated as unlimited rights data (see 27.404-5(b)). (b) Data not first produced in the performance of a contract. (1) Contractors shall not deliver any data that is not first produced under the contract without either— (i) Acquiring for or granting to the Government a copyright license for the data; or (ii) Obtaining permission from the contracting officer to do otherwise. (2) The copyright license the Government acquires for such data will normally be of the same scope as discussed in paragraph (a)(4) of this subsection, and is set forth in paragraph (c)(2) of the clause at 52.227-14. However, agencies may obtain a license of different scope if the agency determines, after consultation with its legal counsel, that such different license will not be inconsistent with the purpose of acquiring the data. If a license of a different scope is acquired, it must be so stated in the contract and clearly set forth in a conspicuous place on the data when delivered to the Government. If the contractor delivers computer software not first produced under the contract, the contractor shall grant the Government the license set forth in paragraph (g)(4) of Alternate III if included in the clause at 52.227-14, or a license agreed to in a collateral agreement made part of the contract."
27.404-4,"Contractor's release, publication, and use of data.","(a) In contracts for basic or applied research with universities or colleges, agencies shall not place any restrictions on the conduct of or reporting on the results of unclassified basic or applied research, except as provided in applicable U.S. statutes. However, agencies may restrict the release or disclosure of computer software that is or is intended to be developed to the point of practical application (including for agency distribution under established programs). This is not considered a restriction on the reporting of the results of basic or applied research. Agencies may also preclude a contractor from asserting copyright in any computer software for purposes of established agency distribution programs, or where required to accomplish the purpose for which the software is acquired. (b) Except for the results of basic or applied research under contracts with universities or colleges, agencies may, to the extent provided in their FAR supplements, place limitations or restrictions on the contractor's exercise of its rights in data first produced in the performance of the contract, including a requirement to assign copyright to the Government or another party. Any of these restrictions shall be expressly included in the contract."
27.404-5,"Unauthorized, omitted, or incorrect markings.","(a) Unauthorized marking of data. (1) The Government has, in accordance with paragraph (e) of the clause at 52.227-14, the right to either return data containing unauthorized markings or to cancel or ignore the markings. (2) Agencies shall not cancel or ignore markings without making written inquiry of the contractor and affording the contractor at least 60 days to provide a written justification substantiating the propriety of the markings. (i) If the contractor fails to respond or fails to provide a written justification substantiating the propriety of the markings within the time afforded, the Government may cancel or ignore the markings. (ii) If the contractor provides a written justification substantiating the propriety of the markings, the contracting officer shall consider the justification. (A) If the contracting officer determines that the markings are authorized, the contractor will be so notified in writing. (B) If the contracting officer determines, with concurrence of the head of the contracting activity, that the markings are not authorized, the contractor will be furnished a written determination which becomes the final agency decision regarding the appropriateness of the markings and the markings will be cancelled or ignored and the data will no longer be made subject to disclosure prohibitions, unless the contractor files suit within 90 days in a court of competent jurisdiction. The markings will not be cancelled or ignored until final resolution of the matter, either by the contracting officer's determination becoming the final agency decision or by final disposition of the matter by court decision if suit is filed. (3) The foregoing procedures may be modified in accordance with agency regulations implementing the Freedom of Information Act (5 U.S.C. 552) if necessary to respond to a request. In addition, the contractor may bring a claim, in accordance with the Disputes clause of the contract, that may arise as the result of the Government's action to remove or ignore any markings on data, unless the action occurs as the result of a final disposition of the matter by a court of competent jurisdiction. (b) Omitted or incorrect notices. (1) Data delivered under a contract containing the clause without a limited rights notice or restricted rights notice, and without a copyright notice, will be presumed to have been delivered with unlimited rights, and the Government assumes no liability for the disclosure, use, or reproduction of the data. However, to the extent the data has not been disclosed without restriction outside the Government, the contractor may, within 6 months (or a longer period approved by the contracting officer for good cause shown), request permission of the contracting officer to have the omitted limited rights or restricted rights notices, as applicable, placed on qualifying data at the contractor's expense. The contracting officer may permit adding appropriate notices if the contractor— (i) Identifies the data for which a notice is to be added; (ii) Demonstrates that the omission of the proposed notice was inadvertent; (iii) Establishes that use of the proposed notice is authorized; and (iv) Acknowledges that the Government has no liability with respect to any disclosure or use of any such data made prior to the addition of the notice or resulting from the omission of the notice. (2) The contracting officer may also— (i) Permit correction, at the contractor's expense, of incorrect notices if the contractor identifies the data on which correction of the notice is to be made, and demonstrates that the correct notice is authorized; or (ii) Correct any incorrect notices."
