secno,cfr_subject,statement,subject,modality,action_verb,object,target
28.311-1,Contract clause.,"In accordance with agency acquisition regulations, the contracting officer shall insert the clause at 52.228-7, Insurance—Liability to Third Persons, in solicitations and contracts, other than those for construction contracts and those for architect-engineer services, when a cost-reimbursement contract is contemplated.",contract,obligation,insert,Insurance,services
28.311-2,Agency solicitation provisions and contract clauses.,Agencies may prescribe their own solicitation provisions and contract clauses to implement the basic policies contained in this subpart 28.3.,Agencies,permission,prescribe,policies,28.3
28.312,Contract clause for insurance of leased motor vehicles.,"The contracting officer shall insert the clause at 52.228-8, Liability and Insurance—Leased Motor Vehicles, in solicitations and contracts for the leasing of motor vehicles (see subpart 8.11).",officer,obligation,insert,subpart,vehicles
28.313,Contract clauses for insurance of transportation or transportation-related services.,"(a) The contracting officer shall insert the clause at 52.228-9, Cargo Insurance, in solicitations and contracts for transportation or for transportation-related services, except when freight is shipped under rates subject to released or declared value.",freight,obligation,insert,Insurance,value
28.313,Contract clauses for insurance of transportation or transportation-related services.,"(b) The contracting officer shall insert a clause substantially the same as that at 52.228-10, Vehicular and General Public Liability Insurance, in solicitations and contracts for transportation or for transportation-related services when the contracting officer determines that vehicular liability or general public liability insurance required by law is not sufficient.",liability,obligation,insert,Insurance,law
29.101,Resolving tax problems.,"Therefore, when tax questions arise, contracting officers should request assistance from the agency-designated legal counsel.",officers,obligation,request,assistance,counsel
29.101,Resolving tax problems.,"(b) To keep treatment within an agency consistent, contracting officers or other authorized personnel shall consult the agency-designated counsel before negotiating with any taxing authority for the purpose of (1) determining whether or not a tax is valid or applicable or (2) obtaining exemption from, or refund of, a tax.",tax,obligation,consult,exemption,tax
29.101,Resolving tax problems.,"(d) Before purchasing goods or services from a foreign source, the contracting officer should consult the agency-designated counsel (1) for information on foreign tax treaties and agreements in force and on the implementation of any foreign-tax-relief programs and (2) to resolve any other tax questions affecting the prospective contract.",officer,obligation,consult,contract,programs
29.201,General.,"Contracting officers should solicit prices on a tax-exclusive basis when it is known that the Government is exempt from these taxes, and on a tax-inclusive basis when no exemption exists.",exemption,obligation,solicit,prices,basis
29.201,General.,(c) Executive agencies shall take maximum advantage of available Federal excise tax exemptions.,agencies,obligation,take,advantage,exemptions
29.202,General exemptions.,Shipment must occur within 6 months of the time title passes to the Government.,Shipment,obligation,occur,,Government
29.202,General exemptions.,"When the exemption is claimed, the words “for export” must appear on the contract or purchase document, and the contracting officer must furnish the seller proof of export ( see 26 CFR 48.4221-3).",officer,obligation,appear,CFR,export
29.202,General exemptions.,The contracting officer shall furnish the seller an exemption certificate for Supplies for Vessels of War (an example is given in 26 CFR 48.4221-4(d)(2); the IRS will accept one certificate covering all orders under a single contract for a specified period of up to 12 calendar quarters) (26 U.S.C. 4041 and 4221).,IRS,obligation,accept,orders,quarters
29.302,Application of State and local taxes to the Government.,"(b) When it is economically feasible to do so, executive agencies shall take maximum advantage of all exemptions from State and local taxation that may be available.",that,obligation,take,advantage,taxation
29.302,Application of State and local taxes to the Government.,"If appropriate, the contracting officer shall provide a Standard Form 1094, U.S. Tax Exemption Form (see part 53), or other evidence listed in 29.305(a) to establish that the purchase is being made by the Government.",purchase,obligation,provide,part,Government
29.303,Application of State and local taxes to Government contractors and subcontractors.,"The referral shall include all pertinent data on which the contention is based, together with a thorough analysis of all relevant legal precedents.",contention,obligation,include,data,precedents
29.303,Application of State and local taxes to Government contractors and subcontractors.,"It may rest instead on provisions of the particular State or local law involved, or, in some cases, the transaction may not in fact be expressly exempt from the tax.",transaction,dispensation,rest,,tax
29.303,Application of State and local taxes to Government contractors and subcontractors.,"Situations may arise in which States or localities assert the right to tax Government property directly or to tax the contractor's or subcontractor's possession of, interest in, or use of that property.",States,permission,arise,contractor,property
29.303,Application of State and local taxes to Government contractors and subcontractors.,"In such cases, the contracting officer shall seek review and advice from the agency-designated counsel on the appropriate course of action.",officer,obligation,seek,review,action
29.304,Matters requiring special consideration.,"The imposition of State and local taxes may result in special contract considerations including the following: (a) With coordination of the agency-designated counsel, a contract may (1) state that the contract price includes or excludes a specified tax or (2) require that the contractor take certain actions with regard to payment, nonpayment, refund, protest, or other treatment of a specified tax.",contractor,permission,result,actions,tax
29.304,Matters requiring special consideration.,(c) Indefinite-delivery contracts for equipment rental may require the contractor to furnish equipment in any of the States.,contracts,permission,require,equipment,States
29.304,Matters requiring special consideration.,The amount of these taxes can vary considerably from jurisdiction to jurisdiction.,amount,permission,vary,,jurisdiction
29.304,Matters requiring special consideration.,"(2) The Act provides that, to receive the refund, claimants must file, within 6 months after the claimant's fiscal year closes, a written request substantiated by such records, receipts, and information as the Commissioner of Revenue may require.",request,obligation,require,refund,Revenue
29.304,Matters requiring special consideration.,"The requirements of the Commissioner are set forth in regulations that provide that, to substantiate a refund claim for sales or use taxes paid on purchases of building materials, supplies, fixtures, or equipment by a contractor, the Government must secure from the contractor certified statements setting forth the cost of the property purchased from each vendor and the amount of sales or use taxes paid.",Government,obligation,set,taxes,sales
29.304,Matters requiring special consideration.,"In the event the contractor makes several purchases from the same vendor, the certified statement must indicate the invoice numbers, the inclusive dates of the invoices, the total amount of the invoices, and the sales and use taxes paid.",statement,obligation,indicate,taxes,invoices
29.304,Matters requiring special consideration.,The statement must also include the cost of any tangible personal property withdrawn from the contractor's warehouse stock and the amount of sales or use tax paid by the contractor.,statement,obligation,include,tax,contractor
29.304,Matters requiring special consideration.,The contracting officer shall ensure that contractors comply with this requirement and shall obtain the annual refund to which the Government may be entitled.,Government,obligation,ensure,refund,which
29.305,State and local tax exemptions.,Such evidence may include the following: (1) A copy of the contract or relevant portion.,evidence,permission,include,following,contract
29.401-2,Construction contracts performed in North Carolina.,"The contracting officer shall insert the clause at 52.229-2, North Carolina State and Local Sales and Use Tax, in solicitations and contracts for construction to be performed in North Carolina.",officer,obligation,insert,Tax,Carolina
29.401-3,"Federal, State, and local taxes.","(b) In a noncompetitive contract that meets all the conditions in paragraph (a) of this section, the contracting officer may insert the clause at 52.229-4, Federal, State, and Local Taxes (State and Local Adjustments), instead of the clause at 52.229-3, if the price would otherwise include an inappropriate contingency for potential postaward change(s) in State or local taxes.",price,permission,insert,contingency,taxes
29.401-4,New Mexico gross receipts and compensating tax.,"The contracting officer shall insert the clause at 52.229-10, State of New Mexico Gross Receipts and Compensating Tax, in solicitations and contracts issued by the agencies identified in paragraph (c) of this subsection when all three of the following conditions exist: (1) The contractor will be performing a cost-reimbursement contract.",contractor,obligation,insert,contract,conditions
29.402-1,Foreign fixed-price contracts.,"(a) The contracting officer shall insert the clause at 52.229-6, Taxes—Foreign Fixed-Price Contracts, in solicitations and contracts expected to exceed the simplified acquisition threshold when a fixed-price contract is contemplated and the contract is to be performed wholly or partly in a foreign country, unless it is contemplated that the contract will be with a foreign government.",contract,obligation,insert,threshold,government
29.402-1,Foreign fixed-price contracts.,"(b) The contracting officer shall insert the clause at 52.229-7, Taxes—Fixed-Price Contracts With Foreign Governments, in solicitations and contracts that exceed the simplified acquisition threshold when a fixed-price contract with a foreign government is contemplated.",contract,obligation,insert,threshold,government
29.402-2,Foreign cost-reimbursement contracts.,"(a) The contracting officer shall insert the clause at 52.229-8, Taxes—Foreign Cost-Reimbursement Contracts, in solicitations and contracts when a cost-reimbursement contract is contemplated and the contract is to be performed wholly or partly in a foreign country, unless it is contemplated that the contract will be with a foreign government.",contract,obligation,insert,Taxes,government
29.402-2,Foreign cost-reimbursement contracts.,"(b) The contracting officer shall insert the clause at 52.229-9, Taxes—Cost-Reimbursement Contracts with Foreign Governments, in solicitations and contracts when a cost-reimbursement contract with a foreign government is contemplated.",contract,obligation,insert,clause,government
30.201-3,Solicitation provisions.,"(a) The contracting officer shall insert the provision at 52.230-1, Cost Accounting Standards Notices and Certification, in solicitations for proposed contracts subject to CAS as specified in 48 CFR 9903.201 (FAR appendix).",officer,obligation,insert,provision,CFR
30.201-3,Solicitation provisions.,"(b) If an award to an educational institution is contemplated prior to July 1, 1997, the contracting officer shall insert the basic provision set forth at 52.230-1 with its Alternate I, unless the contract is to be performed by a Federally Funded Research and Development Center (FFRDC) (see 48 CFR 9903.201-2(c)(5) (FAR appendix)), or the provision at 48 CFR 9903.201-2(c)(6) (FAR appendix) applies.",provision,obligation,insert,provision,CFR
30.201-4,Contract clauses.,"(1) The contracting officer shall insert the clause at FAR 52.230-2, Cost Accounting Standards, in negotiated contracts, unless the contract is exempted (see 48 CFR 9903.201-1 (FAR appendix)), the contract is subject to modified coverage (see 48 CFR 9903.201-2 (FAR appendix)), or the clause prescribed in paragraph (c) of this subsection is used.",clause,obligation,insert,Standards,subsection
30.201-4,Contract clauses.,"(1) The contracting officer shall insert the clause at 52.230-4, Disclosure and Consistency of Cost Accounting Practices—Foreign Concerns, in negotiated contracts with foreign concerns, unless the contract is otherwise exempt from CAS (see 48 CFR 9903.201-1).",contract,obligation,insert,clause,CAS
30.201-4,Contract clauses.,"(1) The contracting officer shall insert the clause at FAR 52.230-6, Administration of Cost Accounting Standards, in contracts containing any of the clauses prescribed in paragraphs (a), (b), (c), or (e) of this subsection.",officer,obligation,insert,any,subsection
30.201-4,Contract clauses.,"(1) The contracting officer shall insert the clause at FAR 52.230-5, Cost Accounting Standards—Educational Institution, in negotiated contracts awarded to educational institutions, unless the contract is exempted (see 48 CFR 9903.201-1 (FAR appendix)), the contract is to be performed by an FFRDC (see 48 CFR 9903.201-2(c)(5) (FAR appendix)), or the provision at 48 CFR 9903.201-2(c)(6) (FAR appendix) applies.",provision,obligation,insert,Standards,CFR
30.201-5,Waiver.,"(b) The head of the agency may grant a waiver when one of the following conditions exists: (1) The contract or subcontract value is less than $15,000,000, and the head of the agency determines, in writing, that the segment of the contractor or subcontractor that will perform the contract or subcontract— (i) Is primarily engaged in the sale of commercial items; and (ii) Has no contracts or subcontracts that are subject to CAS.",that,permission,is,contracts,CAS
30.201-5,Waiver.,"(c) When one of the conditions in paragraph (b) of this subsection exists, the request for waiver should include the following: (1) The amount of the proposed award.",request,obligation,include,following,award
30.201-5,Waiver.,"(e) Each agency must report any waivers granted under paragraph (a) of this subsection to the CAS Board, on a fiscal year basis, not later than 90 days after the close of the Government's fiscal year.",agency,obligation,report,waivers,year
30.202-6,Responsibilities.,(a) The contracting officer is responsible for determining when a proposed contract may require CAS coverage and for including the appropriate notice in the solicitation.,contract,permission,is,coverage,solicitation
30.202-6,Responsibilities.,The contracting officer must then ensure that the offeror has made the required solicitation certifications and that required Disclosure Statements are submitted.,Statements,obligation,ensure,certifications,
30.202-6,Responsibilities.,"In this event, the contractor shall submit the required Disclosure Statement and the CFAO shall make a determination of adequacy as soon as possible after the award.",contractor,obligation,submit,determination,award
30.202-7,Determinations.,The notice of adequacy shall state that— (A) The disclosed practices are adequately described and the CFAO currently is not aware of any additional practices that should be disclosed; (B) The notice is not a determination that all cost accounting practices were disclosed; and (C),practices,obligation,state,that,practices
30.202-7,Determinations.,Such action should include requesting a revised Disclosure Statement that corrects the CAS noncompliance.,that,obligation,include,noncompliance,
30.202-8,Subcontractor disclosure statements.,"(a) When the Government requires determinations of adequacy of subcontractor disclosure statements, the CFAO for the subcontractor shall provide this determination to the CFAO for the contractor or next higher-tier subcontractor.",CFAO,obligation,provide,determination,contractor
30.601,Responsibility.,(b),,,,,
30.601,Responsibility.,"Within 30 days after the award of any new contract subject to CAS, the contracting officer making the award shall request the CFAO to perform administration for CAS matters (see Subpart 42.2).",award,obligation,request,Subpart,matters
30.601,Responsibility.,"For subcontract awards, the contractor awarding the subcontract must follow the procedures at 52.230-6(l), (m), and (n).",contractor,obligation,follow,procedures,52.230
30.603-1,Required changes.,Offerors shall state whether or not the award of a contract would require a change to an established cost accounting practice affecting existing contracts and subcontracts ( see 52.230-1).,award,obligation,state,52.230,practice
30.603-1,Required changes.,The contracting officer shall notify the CFAO if the offeror states that a change in cost accounting practice would be required.,change,dispensation,notify,CFAO,practice
30.603-1,Required changes.,"(1) Required changes made to comply with new or modified standards may require equitable adjustments, but only to those contracts awarded before the effective date of the new or modified standard ( see 52.230-2, 52.230-3, or 52.230-5).",changes,permission,require,52.230,standard
30.603-2,Unilateral and desirable changes.,"(1) The contractor may unilaterally change its disclosed or established cost accounting practices, but the Government shall not pay any increased cost, in the aggregate, as a result of the unilateral change.",Government,dispensation,change,cost,change
30.603-2,Unilateral and desirable changes.,"The contractor must change the cost accounting practices it uses for Government contract and subcontract costing purposes to remain in compliance with the provisions of Part 31; (ii) The contractor is initiating management actions directly associated with the change that will result in cost savings for segments with CAS-covered contracts and subcontracts over a period for which forward pricing rates are developed or 5 years, whichever is shorter, and the cost savings are reflected in the forward pricing rates; and (iii) Funds are available if the determination would necessitate an upward adjustment of contract cost or price.",determination,obligation,change,adjustment,cost
30.603-2,Unilateral and desirable changes.,"(1) If a contractor requests that a unilateral change be retroactive, the contractor shall submit supporting rationale.",contractor,obligation,submit,rationale,
30.604,Processing changes to disclosed or established cost accounting practices.,"For required or unilateral changes (except those requested to be determined desirable changes), request the contractor submit a general dollar magnitude (GDM) proposal by a specified date, unless the CFAO determines the cost impact is immaterial; or (ii) For unilateral changes that the contractor requests to be determined desirable changes, inform the contractor that the request shall include supporting rationale and— (A) For any request based on the criteria in 30.603-2(b)(3)(ii), the data necessary to demonstrate the required cost savings; or (B) For any request other than those based on the criteria in 30.603-2(b)(3)(ii), a GDM proposal and any other data necessary for the CFAO to determine if the change is a desirable change; (2) If the description of the change is inadequate, request a revised description of the new cost accounting practice; and (3) If the disclosed practice is noncompliant, notify the contractor in writing that, if implemented, the CFAO will determine the cost accounting practice to be noncompliant and process it accordingly.",practice,obligation,request,it,practice
30.604,Processing changes to disclosed or established cost accounting practices.,The GDM proposal— (1) Provides information to the CFAO on the estimated overall impact of a change in cost accounting practice on affected CAS-covered contracts and subcontracts that were awarded based on the previous cost accounting practice; (2) Assists the CFAO in determining whether individual contract price or cost adjustments are required; and (3) The contractor may submit a detailed cost-impact (DCI) proposal in lieu of a GDM proposal provided the DCI proposal is in accordance with paragraph (g) of this section.,contractor,permission,Assists,proposal,section
30.604,Processing changes to disclosed or established cost accounting practices.,"A general dollar magnitude estimate of the total increase or decrease in cost accumulations by Executive agency, including any impact the change may have on contract and subcontract incentives, fees, and profits, for each of the following groups: (A) Fixed-price contracts and subcontracts.",change,permission,,,groups
30.605,Processing noncompliances.,(iii) Any other method that provides a reasonable approximation of the total increase or decrease in contract and subcontract prices and cost accumulations; (3) The contractor may submit a DCI proposal in lieu of a GDM proposal provided the DCI proposal is in accordance with paragraph (f) of this section.,contractor,permission,submit,proposal,section
30.605,Processing noncompliances.,"The total increase or decrease in contract and subcontract prices and cost accumulations, as applicable, by Executive agency, including any impact the noncompliance may have on contract and subcontract incentives, fees, and profits, for each of the following groups: (A) Fixed-price contracts and subcontracts.",noncompliance,permission,,,groups
30.606,Resolving cost impacts.,"For example, if there are aggregate increased costs to the Government of $100,000, and the indirect cost pool where the adjustment is to be effected has a Government participation rate of 50 percent for flexibly-priced contracts and subcontracts, the contractor shall exclude $200,000 from the indirect cost pool ($100,000/50% = $200,000).",contractor,obligation,exclude,"200,000",pool
30.607,Subcontract administration.,"When a negotiated CAS price adjustment or a determination of noncompliance is required at the subcontract level, the CFAO for the subcontractor shall furnish a copy of the negotiation memorandum or the determination to the CFAO for the contractor of the next higher-tier subcontractor.",CFAO,obligation,furnish,copy,subcontractor
31.002,Availability of accounting guide.,Contractors needing assistance in developing or improving their accounting systems and procedures may request a copy of the Defense Contract Audit Agency Pamphlet,Contractors,permission,request,copy,Agency
31.103,Contracts with commercial organizations.,"(b) In addition, the contracting officer shall incorporate the cost principles and procedures in subpart 31.2 and agency supplements by reference in contracts with commercial organizations as the basis for— (1) Determining reimbursable costs under (i) cost-reimbursement contracts and cost-reimbursement subcontracts under these contracts performed by commercial organizations and (ii) the cost-reimbursement portion of time-and-materials contracts except when material is priced on a basis other than at cost (see 16.601(c)(3)); (2) Negotiating indirect cost rates (see subpart 42.7); (3) Proposing, negotiating, or determining costs under terminated contracts (see 49.103 and 49.113); (4) Price revision of fixed-price incentive contracts (see 16.204 and 16.403); (5) Price redetermination of price redetermination contracts (see 16.205 and 16.206); and (6) Pricing changes and other contract modifications.",material,obligation,incorporate,16.205,contracts
31.104,Contracts with educational institutions.,(a) The contracting officer shall incorporate the cost principles and procedures in subpart 31.3 by reference in cost-reimbursement contracts with educational institutions as the basis for— (1) Determining reimbursable costs under the contracts and cost-reimbursement subcontracts thereunder performed by educational institutions; (2) Negotiating indirect cost rates; and (3) Settling costs of cost-reimbursement terminated contracts (see subpart 49.3 and 49.109-7).,officer,obligation,incorporate,49.3,contracts
31.105,Construction and architect-engineer contracts.,"(c) In addition, the contracting officer shall incorporate the cost principles and procedures in subpart 31.2 (as modified by (d) below) by reference in contracts in this category as the basis for— (1) Determining reimbursable costs under cost-reimbursement contracts, including cost-reimbursement subcontracts thereunder; (2) Negotiating indirect cost rates; (3) Proposing, negotiating, or determining costs under terminated contracts; (4) Price revision of fixed-price incentive contracts; and (5) Pricing changes and other contract modifications.",officer,obligation,incorporate,costs,contracts
31.105,Construction and architect-engineer contracts.,"When such costs cannot be so determined, the contracting agency may specify the use of a particular schedule of predetermined rates or any part thereof to determine ownership and operating costs of construction equipment (see subdivisions (d)(2)(i)(B) and (C) of this section).",agency,dispensation,specify,costs,section
31.105,Construction and architect-engineer contracts.,Contracting officers should review the computations and factors included within the specified schedule and ensure that unallowable or unacceptably computed factors are not allowed in cost submissions.,factors,obligation,review,computations,submissions
31.105,Construction and architect-engineer contracts.,The allowance for ownership costs should include the cost of depreciation and may include facilities capital cost of money.,allowance,obligation,include,cost,money
31.105,Construction and architect-engineer contracts.,"The allowance for operating costs may include costs for such items as fuel, filters, oil, and grease; servicing, repairs, and maintenance; and tire wear and repair.",allowance,permission,include,costs,fuel
31.105,Construction and architect-engineer contracts.,"If the contractor's accounting system provides for site or home office overhead allocations, all costs which are included in the equipment allowances may need to be included in any cost input base before computing the contractor's overhead rate.",which,permission,need,rate,base
31.109,Advance agreements.,"To avoid possible subsequent disallowance or dispute based on unreasonableness, unallocability or unallowability under the specific cost principles at subparts 31.2, 31.3, 31.6, and 31.7, contracting officers and contractors should seek advance agreement on the treatment of special or unusual costs and on statistical sampling methodologies at 31.201-6(c).",officers,obligation,seek,agreement,31.201
31.109,Advance agreements.,An advance agreement shall contain a statement of its applicability and duration.,agreement,obligation,contain,statement,applicability
31.109,Advance agreements.,"(g) Upon completion of the negotiation, the sponsor shall prepare and distribute to other interested agencies and offices, including the audit agency, copies of the executed agreement and a memorandum providing the information specified in 15.406-3, as applicable.",sponsor,obligation,prepare,information,15.406
31.201-2,Determining allowability.,The contracting officer may disallow all or part of a claimed cost that is inadequately supported.,that,permission,disallow,all,cost
31.201-6,Accounting for unallowable costs.,The advance agreement should specify the basic characteristics of the sampling process.,agreement,obligation,specify,characteristics,process
31.201-6,Accounting for unallowable costs.,The cognizant administrative contracting officer or Federal official shall request input from the cognizant auditor before entering into any such agreements.,officer,obligation,request,input,agreements
31.201-6,Accounting for unallowable costs.,"(d) If a directly associated cost is included in a cost pool that is allocated over a base that includes the unallowable cost with which it is associated, the directly associated cost shall remain in the cost pool.",cost,obligation,remain,cost,pool
31.202,Direct costs.,"For reasons of practicality, the contractor may treat any direct cost of a minor dollar amount as an indirect cost if the accounting treatment— (1) Is consistently applied to all final cost objectives; and (2) Produces substantially the same results as treating the cost as a direct cost.",treatment,permission,treat,cost,cost
31.203,Indirect costs.,The contractor shall accumulate indirect costs by logical cost groupings with due consideration of the reasons for incurring such costs.,contractor,obligation,accumulate,costs,reasons
31.203,Indirect costs.,The contractor shall determine each grouping so as to permit use of an allocation base that is common to all cost objectives to which the grouping is to be allocated.,grouping,obligation,determine,use,which
31.203,Indirect costs.,All items properly includable in an indirect cost base shall bear a pro rata share of indirect costs irrespective of their acceptance as Government contract costs.,items,obligation,bear,share,costs
31.203,Indirect costs.,"For example, when a cost input base is used for the allocation of G&A costs, the contractor shall include in the base all items that would properly be part of the cost input base, whether allowable or unallowable, and these items shall bear their pro rata share of G&A costs.",items,obligation,include,share,costs
31.203,Indirect costs.,"(e) The method of allocating indirect costs may require revision when there is a significant change in the nature of the business, the extent of subcontracting, fixed-asset improvement programs, inventories, the volume of sales and production, manufacturing processes, the contractor's products, or other relevant circumstances.",method,permission,require,revision,sales
31.203,Indirect costs.,"For contracts subject to full or modified CAS coverage, the contractor shall follow the criteria and guidance in 48 CFR 9904.406 for selecting the cost accounting periods to be used in allocating indirect costs.",contractor,obligation,follow,costs,CFR
31.203,Indirect costs.,"The distribution of corporate, division or branch office G&A expenses to such plants operating with little or no dependence on corporate administrative activities may require more precise cost groupings, detailed accounts screening, and carefully developed distribution bases.",distribution,permission,require,groupings,activities
31.205-6,Compensation for personal services.,"The contractor shall measure, assign, and allocate the costs of all defined-benefit pension plans and the costs of all defined-contribution pension plans in compliance with 48 CFR",contractor,obligation,measure,costs,48
31.205-6,Compensation for personal services.,"Except for nonqualified pension plans using the pay-as-you-go cost method, to be allowable in the current year, the contractor shall fund pension costs by the time set for filing of the Federal income tax return or any extension.",contractor,obligation,fund,costs,return
31.205-6,Compensation for personal services.,"For nonqualified pension plans using the pay-as-you-go method, to be allowable in the current year, the contractor shall allocate pension costs in the cost accounting period that the pension costs are assigned.",costs,obligation,allocate,costs,period
31.205-6,Compensation for personal services.,The contractor shall make determinations of unallowable costs in accordance with the actuarial method used in calculating pension costs.,contractor,obligation,make,costs,method
31.205-6,Compensation for personal services.,The Government's equitable share shall reflect the Government's participation in pension costs through those contracts for which certified cost or pricing data were submitted or that are subject to Subpart 31.2.,that,obligation,reflect,participation,Subpart
31.205-6,Compensation for personal services.,"When using the pay-as-you-go cost method, the contractor shall measure, assign, and allocate the cost of pension plans in accordance with 48 CFR 9904.412 and 9904.413.",contractor,obligation,measure,cost,CFR
31.205-6,Compensation for personal services.,The contractor shall compute the present value in accordance with its accounting practices for pension costs.,contractor,obligation,compute,value,costs
31.205-6,Compensation for personal services.,The contractor shall account for any unallowable costs in accordance with 48 CFR 9904.412-50(a)(2).,contractor,obligation,account,,50(a)(2
31.205-6,Compensation for personal services.,Accrued PRB costs shall comply with the following: (A) Be measured and assigned in accordance with one of the following two methods described under paragraphs (o)(2)(iii)(A)( 1 ) or (o)(2)(iii)(A)( 2 ) of this subsection: ( 1 ) Generally accepted accounting principles.,costs,obligation,comply,principles,subsection
31.205-6,Compensation for personal services.,"For a plan that transitioned from pay-as-you-go to accrual accounting for Government contract cost accounting prior to July 22, 2013, the unallowable amount of PRB cost attributable to the transition obligation amortization shall continue to be based on the cost principle in effect at the time of the transition until the original transition obligation schedule is fully amortized.",schedule,obligation,,,transition
31.205-6,Compensation for personal services.,"Allowable PRB costs based on such contributions shall— ( i ) Be measured using reasonable actuarial assumptions, which shall include a health care inflation assumption unless prohibited by the Internal Revenue Code provisions governing welfare benefit funds; ( ii ) Be assigned to accounting periods on the basis of the average working lives of active employees covered by the PRB plan or a 15 year period, whichever period is longer.",period,obligation,is,funds,plan
31.205-6,Compensation for personal services.,(5) The Government shall receive an equitable share of any amount of previously funded PRB costs which revert or inure to the contractor.,which,obligation,receive,share,contractor
31.205-6,Compensation for personal services.,Such equitable share shall reflect the Government's previous participation in PRB costs through those contracts for which certified cost or pricing data were required or which were subject to Subpart 31.2.,which,obligation,reflect,participation,Subpart
31.205-6,Compensation for personal services.,"An agency head may establish one or more narrowly targeted exceptions for scientists, engineers, or other specialists upon a determination that such exceptions are needed to ensure that the executive agency has continued access to needed skills and capabilities.",agency,permission,establish,access,skills
31.205-6,Compensation for personal services.,"In making such a determination, the agency shall consider, at a minimum, for each contractor employee in a narrowly targeted excepted position— (A)",agency,obligation,consider,determination,position
31.205-6,Compensation for personal services.,"(iv) When the contribution is in the form of cash— (A) Stock purchases by the ESOT in excess of fair market value are unallowable; and (B) When stock purchases are in excess of fair market value, the contractor shall credit the amount of the excess to the same indirect cost pools that were charged for the ESOP contributions in the year in which the stock purchase occurs.",purchase,obligation,credit,amount,which
31.205-6,Compensation for personal services.,"However, when the trust purchases the stock with borrowed funds which will be repaid over a period of years by cash contributions from the contractor to the trust, the contractor shall credit the excess price over fair market value to the indirect cost pools pro rata over the period of years during which the contractor contributes the cash used by the trust to repay the loan.",contractor,obligation,credit,loan,trust
31.205-7,Contingencies.,"(c) In connection with estimates of future costs, contingencies fall into two categories: (1) Those that may arise from presently known and existing conditions, the effects of which are foreseeable within reasonable limits of accuracy; e.g., anticipated costs of rejects and defective work.",effects,permission,,,rejects
31.205-7,Contingencies.,"(2) Those that may arise from presently known or unknown conditions, the effect of which cannot be measured so precisely as to provide equitable results to the contractor and to the Government; e.g., results of pending litigation.",effect,dispensation,measure,results,litigation
31.205-11,Depreciation.,"All requirements of 48 CFR 9904.409 are applicable if the election is made, and contractors must continue to follow it until notification of final acceptance of all deliverable items on all open negotiated Government contracts.",contractors,obligation,are,it,contracts
31.205-12,Economic planning costs.,Economic planning costs are the costs of general long-range management planning that is concerned with the future overall development of the contractor's business and that may take into account the eventual possibility of economic dislocations or fundamental alterations in those markets in which the contractor currently does business.,contractor,permission,are,business,which
31.205-13,"Employee morale, health, welfare, food service, and dormitory costs and credits.","(iii) A loss may be allowed to the extent that the contractor can demonstrate that unusual circumstances exist such that even with efficient management, operating the services on a break-even basis would require charging inordinately high prices, or prices or rates higher than those charged by commercial establishments offering the same services in the same geographical areas.",circumstances,permission,allow,services,areas
31.205-13,"Employee morale, health, welfare, food service, and dormitory costs and credits.",The following are examples of unusual circumstances: (A) The contractor must provide food or dormitory services at remote locations where adequate commercial facilities are not reasonably available.,facilities,obligation,are,services,locations
31.205-13,"Employee morale, health, welfare, food service, and dormitory costs and credits.",(2) Costs of food and dormitory services shall include an allocable share of indirect expenses pertaining to these activities.,Costs,obligation,include,share,activities
31.205-16,Gains and losses on disposition or impairment of depreciable property or other capital assets.,"(2) When the converted asset is replaced, the contractor shall either— (i) Adjust the depreciable basis of the new asset by the amount of the total realized gain or loss; or (ii) Recognize the gain or loss in the period of disposition, in which case the Government shall participate to the same extent as outlined in paragraph (e)(1) of this subsection.",Government,obligation,Adjust,gain,subsection
31.205-17,Idle facilities and idle capacity costs.,"It is the difference between that which a facility could achieve under 100 percent operating time on a one-shift basis, less operating interruptions resulting from time lost for repairs, setups, unsatisfactory materials, and other normal delays, and the extent to which the facility was actually used to meet demands during the accounting period.",facility,permission,is,demands,period
31.205-18,Independent research and development and bid and proposal costs.,"(ii) If allocations of IR&D or B&P through the G&A base do not provide equitable cost allocation, the contracting officer may approve use of a different base.",officer,permission,approve,use,base
31.205-19,Insurance and indemnification.,(b),,,,,
31.205-19,Insurance and indemnification.,"For purposes of applying the provisions of this subsection, the Government considers insurance provided by captive insurers (insurers owned by or under control of the contractor) as self-insurance, and charges for it shall comply with the provisions applicable to self-insurance costs in this subsection.",charges,obligation,considers,insurance,subsection
31.205-19,Insurance and indemnification.,"(c) Whether or not the contract is subject to CAS, self-insurance charges are allowable subject to paragraph (e) of this subsection and the following limitations: (1) The contractor shall measure, assign, and allocate costs in accordance with 48 CFR 9904.416, Accounting for Insurance Costs.",contractor,obligation,measure,costs,Costs
31.205-19,Insurance and indemnification.,(2) The contractor shall comply with (48 CFR) part 28.,contractor,obligation,comply,,CFR
31.205-19,Insurance and indemnification.,"For contracts subject to full CAS coverage, the contractor shall measure, assign, and allocate costs in accordance with 48 CFR 9904.416.",contractor,obligation,measure,costs,CFR
31.205-19,Insurance and indemnification.,"(2) Costs of insurance maintained by the contractor in connection with the general conduct of its business are allowable subject to the following limitations: (i) Types and extent of coverage shall follow sound business practice, and the rates and premiums shall be reasonable.",rates,obligation,are,practice,coverage
